Command,End Command,Context role,Placeholder,starts new paragraph?,ends paragraph?,Outline Level,Role,Role of Child elements,Number of Groups,Groups to parse,Parse Options?
\grave{z},,,z̀,,,,,,,,
,,,,,,,,,,,
\`{A},,,À,,,,,,,,
\`{a},,,à,,,,,,,,
\`{E},,,È,,,,,,,,
\`{e},,,è,,,,,,,,
\`{I},,,Ì,,,,,,,,
\`{\i},,,ì,,,,,,,,
\`{O},,,Ò,,,,,,,,
\`{o},,,ò,,,,,,,,
\`{U},,,Ù,,,,,,,,
\`{u},,,ù,,,,,,,,
,,,,,,,,,,,
\hat,,,,,,,,,1,,
\hat{A},,,Â,,,,,,,,
\hat{B},,,B̂,,,,,,,,
\hat{C},,,Ĉ,,,,,,,,
\hat{D},,,,,,,,,,,
\hat{E},,,Ê,,,,,,,,
\hat{F},,,,,,,,,,,
\hat{G},,,Ĝ,,,,,,,,
\hat{H},,,Ĥ,,,,,,,,
\hat{I},,,Î,,,,,,,,
\hat{J},,,Ĵ,,,,,,,,
\hat{K},,,,,,,,,,,
\hat{L},,,L̂,,,,,,,,
\hat{M},,,,,,,,,,,
\hat{N},,,,,,,,,,,
\hat{O},,,Ô,,,,,,,,
\hat{P},,,P̂,,,,,,,,
\hat{Q},,,,,,,,,,,
\hat{R},,,,,,,,,,,
\hat{S},,,Ŝ,,,,,,,,
\hat{T},,,T̂,,,,,,,,
\hat{U},,,Û,,,,,,,,
\hat{V},,,V̂,,,,,,,,
\hat{W},,,Ŵ,,,,,,,,
\hat{X},,,X̂,,,,,,,,
\hat{Y},,,Ŷ,,,,,,,,
\hat{Z},,,Ẑ,,,,,,,,
\hat{\Pi},,,Π̂,,,,,,,,
,,,,,,,,,,,
\hat{a},,,â,,,,,,,,
\hat{b},,,,,,,,,,,
\hat{c},,,,,,,,,,,
\hat{d},,,,,,,,,,,
\hat{e},,,ê,,,,,,,,
\hat{f},,,,,,,,,,,
\hat{g},,,ĝ,,,,,,,,
\hat{h},,,,,,,,,,,
\hat{i},,,î,,,,,,,,
\hat{j},,,,,,,,,,,
\hat{k},,,,,,,,,,,
